listing_id,type_id,price,region,microdistrict,street,coordinates,images,description,phone_number,private_seller,call_forwarding,reserved,sold_or_rented,area,type,accommodates_no._of_cars,link,add_date,modified,valid_till,selected,views_total,views_today,number,unique_item_number,features
61061,13,10500,Panevėžys,Ateities g.,Ateities g.,"55.73511,24.31579",https://aruodas-img.dgn.lt/object_61_114707501/panevezys-ateities-g.jpg,"Šį turtą galima įsigyti išsimokėtinai, nevertinant amens turto ir gaunamų pajamų. Garažą galima nuomoti, nuomos kaina 50 Eur/mėn ir mokesčiai.",+37066392969,True,True,False,False,"16,01",For sale,1,m.aruodas.lt/13-61061,2023-12-28,2024-01-23,2024-12-22,3,411,18,19,2799-0000-7010:0073,"Security, water, heating"
54359,13,23900,Vilnius,Naujamiestis,Mindaugo g.,"54.67182,25.27511","https://aruodas-img.dgn.lt/object_61_109365953/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365955/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365957/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365959/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365961/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365963/vilnius-naujamiestis-mindaugo-g.jpg","Vilnius, Naujamiestis, Mindaugo g., parking place in the underground parking lot
Parking space for sale in an underground car park (OSLO NAMAI, Mindaugo g. 27)

The parking lot is equipped with an automatic gate control system, CCTV cameras, autonomous and convenient access from Kauno Street and the inner street near the Comfort Hotel.",+37069124088,True,True,False,False,,For sale,1,m.aruodas.lt/13-54359,2023-08-29,2023-12-27,2024-12-21,6,633,13,,,"Security, automatic gates, under the roof"
59982,13,7200,Panevėžys,Skaistakalnis,Pajuostės pl.,"55.72942,24.39412","https://aruodas-img.dgn.lt/object_61_113974314/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974324/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974320/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974334/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974328/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974332/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974336/panevezys-skaistakalnis-pajuostes-pl.jpg","Parduodamas Dembavoje mūrinis garažas ""Žibintas"" bendrijoje, Dembavos 29,  42kv. ploto, ilgis 6.20 metro plotis 3.50 metro, viršutinis plotas 21.7 kvadrato,su rusiu 42 kvadratai bendro ploto.Įvažiavimas stebimas vaizdo kameromis. KAINA 7200e 

KITAS GARAŽAS: Parduodamas Dembavoje mūrinis garažas šalia mokyklos ir degalines. Garažai yra Dembavos gatve 29 ""Žibintas"" bendrija. Garažo ilgis 6.10 metro, plotis 3.40 metro. Po visu garažu yra rusys- duobė. Bendro ploto su rusiu 41kv.
KAINA 7200e",+37069128053,True,True,False,False,42.0,For sale,1,m.aruodas.lt/13-59982,2023-11-09,2024-02-08,2025-02-02,6,479,39,,,
61063,13,7500,Vilnius,Pilaitė,Gilužio g.,"54.70632,25.16165",https://aruodas-img.dgn.lt/object_61_114711719/vilnius-pilaite-giluzio-g.jpg,Parduodu antzemine auto aikstele.,+37066807566,True,True,False,False,,For sale,1,m.aruodas.lt/13-61063,2023-12-28,2024-01-17,2024-12-22,2,413,16,57,,
53404,13,19900,Klaipėda,Sportininkai,Pušyno g.,"55.72338,21.11374","https://aruodas-img.dgn.lt/object_61_108608536/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608538/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608540/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608542/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608640/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608642/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608644/klaipeda-sportininkai-pusyno-g.jpg","Parduodamas atskirai stovintis garažas daugiabučių kieme, Yra elektra, naktį gerai apšviesas. Daugiau informacijos suteiksime telefonu.",+37066391572,True,True,False,False,17.0,For sale,1,m.aruodas.lt/13-53404,2024-01-02,2024-01-02,2024-12-27,10,370,14,,,
61347,13,18300,Vilnius,Žirmūnai,Minties g.,"54.70672,25.30151","https://aruodas-img.dgn.lt/object_61_114951865/vilnius-zirmunai-minties-g.jpg,https://aruodas-img.dgn.lt/object_61_114951867/vilnius-zirmunai-minties-g.jpg","Parduodamas sausas garažas šalia Šiaurės miestelio, Minties g.1a.",+37066648438,True,True,False,False,"17,25",For sale,1,m.aruodas.lt/13-61347,2024-01-11,2024-02-06,2025-01-05,15,774,29,,,
56974,13,8700,Kauno r. sav.,Užliedžių k.,Ledos g.,"54.96579,23.81328","https://aruodas-img.dgn.lt/object_61_111644852/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644854/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644856/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644862/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644864/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644866/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644868/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644922/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644870/kauno-r-sav-uzliedziu-k-ledos-g.jpg","Garažas 24.93 m2 
Info telefonu


Domina keitimas į sklypą (Domeikava, varluva, lapės, drąseikiai ir pan.)",+37066392870,True,True,False,False,"24,93",For sale,1,m.aruodas.lt/13-56974,2023-07-17,2024-01-29,2025-01-23,3,887,22,,4400-1962-7611:6972,"Automatic gates, basement"
61063,13,7500,Vilnius,Pilaitė,Gilužio g.,"54.70632,25.16165",https://aruodas-img.dgn.lt/object_61_114711719/vilnius-pilaite-giluzio-g.jpg,Parduodu antzemine auto aikstele.,+37066807566,True,True,False,False,,For sale,1,m.aruodas.lt/13-61063,2023-12-28,2024-01-17,2024-12-22,2,413,16,57,,
55987,13,12800,Kaunas,Islandijos pl.,Islandijos pl.,"54.93448,23.9641","https://aruodas-img.dgn.lt/object_61_113219052/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_113219282/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791399/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791403/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791405/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791407/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110816739/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110816743/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791397/kaunas-islandijos-pl.jpg","Sausas šiltas ,pietinė pusė ,pusduobė per visą garažo ilgį. Nauji garažo vartai. +37066809283",+37066809283,True,True,False,False,"18,88",For sale,1,m.aruodas.lt/13-55987,2023-06-05,2024-01-13,2025-01-07,16,1585,25,83,,Pit
61063,13,7500,Vilnius,Pilaitė,Gilužio g.,"54.70632,25.16165",https://aruodas-img.dgn.lt/object_61_114711719/vilnius-pilaite-giluzio-g.jpg,Parduodu antzemine auto aikstele.,+37066807566,True,True,False,False,,For sale,1,m.aruodas.lt/13-61063,2023-12-28,2024-01-17,2024-12-22,2,413,16,57,,
54359,13,23900,Vilnius,Naujamiestis,Mindaugo g.,"54.67182,25.27511","https://aruodas-img.dgn.lt/object_61_109365953/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365955/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365957/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365959/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365961/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365963/vilnius-naujamiestis-mindaugo-g.jpg","Vilnius, Naujamiestis, Mindaugo g., parking place in the underground parking lot
Parking space for sale in an underground car park (OSLO NAMAI, Mindaugo g. 27)

The parking lot is equipped with an automatic gate control system, CCTV cameras, autonomous and convenient access from Kauno Street and the inner street near the Comfort Hotel.",+37069124088,True,True,False,False,,For sale,1,m.aruodas.lt/13-54359,2023-08-29,2023-12-27,2024-12-21,6,633,13,,,"Security, automatic gates, under the roof"
61239,13,13900,Vilnius,Grigiškės,Vilniaus g.,"54.67009,25.10184","https://aruodas-img.dgn.lt/object_61_114845757/vilnius-grigiskes-vilniaus-g.jpg,https://aruodas-img.dgn.lt/object_61_114847463/vilnius-grigiskes-vilniaus-g.jpg","Parduodamas sausas garažas Grigiškėse, Vilniaus g.59. Kaina apie 13900. Kaina derinama.",+37066394152,True,True,False,False,,For sale,1,m.aruodas.lt/13-61239,2024-01-05,2024-01-26,2024-12-30,1,307,16,59,,
61167,13,35000,Vilnius,Naujamiestis,K. Donelaičio g.,"54.68007,25.25107","https://aruodas-img.dgn.lt/object_61_114792133/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792131/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792397/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792135/vilnius-naujamiestis-k-donelaicio-g.jpg","Parduodamas mūrinis garažas su išpirkta žemės sklypo dalimi K. Donelaičio g. 12B, Naujamiestyje.
Garažo plotas 17,3 kv. m., priklausanti žemės sklypo dalis 0,33a.
Strategiškai patogi lokacija, geras privažiavimas. Garažo patalpos sausos, yra elektros įvadas, galima įsirengti elektromobilio krovimo stotelę, yra duobė, garažo vartai metaliniai.
Garažas unikalioje vietoje.

BENDRA INFORMACIJA:
✔ Tipas: Mūrinis, antžeminis;
✔ Plotas: 17,3 kv. m.;
✔ Garažui priklausantis žemės sklypas: 0,33a;
✔ Elektra: yra;
✔ Duobė: yra;
✔ Pardavimo kaina: 35 000 Eur

Garažas miesto centre, puiki investicija.
Yra galimybė įsigyti kelis garažus šioje vietoje.",+37066391473,True,True,False,False,"17,3",For sale,1,m.aruodas.lt/13-61167,2024-01-02,2024-01-29,2024-12-27,6,443,16,12B,,Pit
54359,13,23900,Vilnius,Naujamiestis,Mindaugo g.,"54.67182,25.27511","https://aruodas-img.dgn.lt/object_61_109365953/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365955/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365957/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365959/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365961/vilnius-naujamiestis-mindaugo-g.jpg,https://aruodas-img.dgn.lt/object_61_109365963/vilnius-naujamiestis-mindaugo-g.jpg","Vilnius, Naujamiestis, Mindaugo g., parking place in the underground parking lot
Parking space for sale in an underground car park (OSLO NAMAI, Mindaugo g. 27)

The parking lot is equipped with an automatic gate control system, CCTV cameras, autonomous and convenient access from Kauno Street and the inner street near the Comfort Hotel.",+37069124088,True,True,False,False,,For sale,1,m.aruodas.lt/13-54359,2023-08-29,2023-12-27,2024-12-21,6,633,13,,,"Security, automatic gates, under the roof"
61213,13,13000,Vilnius,Lakūnų g.,Lakūnų g.,"54.71469,25.3043","https://aruodas-img.dgn.lt/object_61_115143049/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115142873/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115143047/vilnius-lakunu-g.jpg","Parduodu garažą daugiaaukščiame garažų pastate, Lakūnų g. 47A, trečiame (3) aukšte.

Neseniai padažytas, sutvarkyta elektra. 

2-tame aukšte yra bendro naudojimo duobė.

Yra budėtojas, pakeliami vartai, 
bendras WC, vanduo, elektra. 
(Sąskaita už viską 120-130eur per metus)

Kaina derinama. 

Brokerių nereikia. 
Ačiū.",+37069125874,True,True,False,False,"15,5",For sale,1,m.aruodas.lt/13-61213,2024-01-22,2024-01-23,2025-01-16,11,573,25,47A,,"Security, water"
61167,13,35000,Vilnius,Naujamiestis,K. Donelaičio g.,"54.68007,25.25107","https://aruodas-img.dgn.lt/object_61_114792133/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792131/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792397/vilnius-naujamiestis-k-donelaicio-g.jpg,https://aruodas-img.dgn.lt/object_61_114792135/vilnius-naujamiestis-k-donelaicio-g.jpg","Parduodamas mūrinis garažas su išpirkta žemės sklypo dalimi K. Donelaičio g. 12B, Naujamiestyje.
Garažo plotas 17,3 kv. m., priklausanti žemės sklypo dalis 0,33a.
Strategiškai patogi lokacija, geras privažiavimas. Garažo patalpos sausos, yra elektros įvadas, galima įsirengti elektromobilio krovimo stotelę, yra duobė, garažo vartai metaliniai.
Garažas unikalioje vietoje.

BENDRA INFORMACIJA:
✔ Tipas: Mūrinis, antžeminis;
✔ Plotas: 17,3 kv. m.;
✔ Garažui priklausantis žemės sklypas: 0,33a;
✔ Elektra: yra;
✔ Duobė: yra;
✔ Pardavimo kaina: 35 000 Eur

Garažas miesto centre, puiki investicija.
Yra galimybė įsigyti kelis garažus šioje vietoje.",+37066391473,True,True,False,False,"17,3",For sale,1,m.aruodas.lt/13-61167,2024-01-02,2024-01-29,2024-12-27,6,443,16,12B,,Pit
54621,13,30000,Vilnius,Pašilaičiai,Perkūnkiemio g.,"54.73874,25.21779","https://aruodas-img.dgn.lt/object_61_109562281/vilnius-pasilaiciai-perkunkiemio-g.jpg,https://aruodas-img.dgn.lt/object_61_109562279/vilnius-pasilaiciai-perkunkiemio-g.jpg,https://aruodas-img.dgn.lt/object_61_109562283/vilnius-pasilaiciai-perkunkiemio-g.jpg","For sale is a double parking space with a niche and a lifting gate in the underground parking lot on Perkūnkiemio street.
Convenient entrance from the street.
Places right at the entrance.
There is room for two cars.",+37061644445,False,False,False,False,,For sale,2,m.aruodas.lt/13-54621,2023-09-20,2023-12-27,2024-12-21,9,1545,16,19A,,
61217,13,18000,Vilnius,Naujininkai,Prūsų g.,"54.65984,25.26515","https://aruodas-img.dgn.lt/object_61_114839645/vilnius-naujininkai-prusu-g.jpg,https://aruodas-img.dgn.lt/object_61_114839649/vilnius-naujininkai-prusu-g.jpg,https://aruodas-img.dgn.lt/object_61_114839647/vilnius-naujininkai-prusu-g.jpg,https://aruodas-img.dgn.lt/object_61_114834023/vilnius-naujininkai-prusu-g.jpg,https://aruodas-img.dgn.lt/object_61_114834025/vilnius-naujininkai-prusu-g.jpg,https://aruodas-img.dgn.lt/object_61_114834027/vilnius-naujininkai-prusu-g.jpg","Parduodamas vertas dėmesio garažas, apatinė eilė (prie tūkstantmečio g.). T formos duobė. Katik sumontuoti nauji vartai.",+37066392397,True,True,False,False,"16,6",For sale,1,m.aruodas.lt/13-61217,2024-01-04,2024-01-05,2024-12-29,8,491,18,32A,,"Pit, basement"
61213,13,13000,Vilnius,Lakūnų g.,Lakūnų g.,"54.71469,25.3043","https://aruodas-img.dgn.lt/object_61_115143049/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115142873/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115143047/vilnius-lakunu-g.jpg","Parduodu garažą daugiaaukščiame garažų pastate, Lakūnų g. 47A, trečiame (3) aukšte.

Neseniai padažytas, sutvarkyta elektra. 

2-tame aukšte yra bendro naudojimo duobė.

Yra budėtojas, pakeliami vartai, 
bendras WC, vanduo, elektra. 
(Sąskaita už viską 120-130eur per metus)

Kaina derinama. 

Brokerių nereikia. 
Ačiū.",+37069125874,True,True,False,False,"15,5",For sale,1,m.aruodas.lt/13-61213,2024-01-22,2024-01-23,2025-01-16,11,573,25,47A,,"Security, water"
61213,13,13000,Vilnius,Lakūnų g.,Lakūnų g.,"54.71469,25.3043","https://aruodas-img.dgn.lt/object_61_115143049/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115142873/vilnius-lakunu-g.jpg,https://aruodas-img.dgn.lt/object_61_115143047/vilnius-lakunu-g.jpg","Parduodu garažą daugiaaukščiame garažų pastate, Lakūnų g. 47A, trečiame (3) aukšte.

Neseniai padažytas, sutvarkyta elektra. 

2-tame aukšte yra bendro naudojimo duobė.

Yra budėtojas, pakeliami vartai, 
bendras WC, vanduo, elektra. 
(Sąskaita už viską 120-130eur per metus)

Kaina derinama. 

Brokerių nereikia. 
Ačiū.",+37069125874,True,True,False,False,"15,5",For sale,1,m.aruodas.lt/13-61213,2024-01-22,2024-01-23,2025-01-16,11,573,25,47A,,"Security, water"
